,Unnamed: 0,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
252,252,253.0,0.8679532,0.85371524,0.58833724,-0.27870744,0.53077585,-0.234889
253,253,254.0,0.8679532,0.85371524,0.58824855,-0.27835646,0.5309018,-0.23475961
254,254,255.0,0.8679532,0.85371524,0.5881586,-0.27800655,0.5310252,-0.2346297
255,255,256.0,0.8679532,0.85371524,0.5880674,-0.27765775,0.5311461,-0.23449922
256,256,257.0,0.8679532,0.85371524,0.587975,-0.27731,0.5312644,-0.2343682
257,257,258.0,0.8679532,0.85371524,0.5878815,-0.27696338,0.5313803,-0.23423669
258,258,259.0,0.8679532,0.85371524,0.5877868,-0.2766178,0.5314937,-0.23410468
259,259,260.0,0.8679532,0.85371524,0.58769095,-0.27627325,0.53160465,-0.23397212
260,260,261.0,0.8679532,0.85371524,0.587594,-0.27592978,0.5317133,-0.23383912
261,261,262.0,0.8679532,0.85371524,0.5874959,-0.2755874,0.53181946,-0.23370564
262,262,263.0,0.8679532,0.85371524,0.58739674,-0.27524605,0.5319233,-0.23357168
263,263,264.0,0.8679532,0.85371524,0.5872965,-0.27490574,0.5320248,-0.23343727
264,264,265.0,0.8679532,0.85371524,0.58719516,-0.2745665,0.5321241,-0.2333024
265,265,266.0,0.8679532,0.85371524,0.5870928,-0.27422825,0.5322211,-0.23316713
266,266,267.0,0.8679532,0.85371524,0.5869894,-0.27389106,0.53231585,-0.23303142
267,267,268.0,0.8679532,0.85371524,0.586885,-0.27355495,0.53240836,-0.23289528
268,268,269.0,0.8679532,0.85371524,0.5867796,-0.27321982,0.53249866,-0.23275873
269,269,270.0,0.8679532,0.85371524,0.58667314,-0.2728857,0.53258675,-0.23262182
270,270,271.0,0.8679532,0.85371524,0.5865658,-0.27255267,0.5326728,-0.23248449
271,271,272.0,0.8679532,0.85371524,0.5864574,-0.2722206,0.53275675,-0.23234682
272,272,273.0,0.8679532,0.85371524,0.5863482,-0.27188957,0.5328385,-0.23220873
273,273,274.0,0.8679532,0.85371524,0.5862379,-0.27155954,0.5329183,-0.2320703
274,274,275.0,0.8679532,0.85371524,0.58612674,-0.27123052,0.53299594,-0.23193154
275,275,276.0,0.8679532,0.85371524,0.58601475,-0.27090248,0.53307164,-0.23179242
276,276,277.0,0.8679532,0.85371524,0.58590186,-0.27057543,0.5331453,-0.23165295
277,277,278.0,0.8679532,0.85371524,0.58578795,-0.27024943,0.5332171,-0.23151317
278,278,279.0,0.8679532,0.85371524,0.58567333,-0.26992434,0.5332867,-0.23137307
279,279,280.0,0.8679532,0.85371524,0.5855578,-0.26960024,0.5333545,-0.23123269
280,280,281.0,0.86154926,0.85371524,0.5854414,-0.2692772,0.5334204,-0.23109198
281,281,282.0,0.86154926,0.85371524,0.58532417,-0.26895508,0.53348434,-0.23095095
282,282,283.0,0.86154926,0.85371524,0.5852062,-0.26863396,0.53354645,-0.23080969
283,283,284.0,0.86154926,0.85371524,0.58508736,-0.2683138,0.53360677,-0.2306681
284,284,285.0,0.86154926,0.85371524,0.58496773,-0.26799458,0.5336652,-0.23052625
285,285,286.0,0.86154926,0.85371524,0.58484733,-0.26767635,0.5337218,-0.23038414
286,286,287.0,0.86154926,0.85371524,0.58472615,-0.26735905,0.53377664,-0.23024178
287,287,288.0,0.86154926,0.85371524,0.5846043,-0.2670427,0.5338297,-0.23009917
288,288,289.0,0.86154926,0.85371524,0.5844816,-0.2667273,0.533881,-0.22995631
289,289,290.0,0.86154926,0.85371524,0.5843582,-0.26641288,0.5339306,-0.22981319
290,290,291.0,0.86154926,0.85371524,0.5842341,-0.2660994,0.5339784,-0.2296699
291,291,292.0,0.86154926,0.85371524,0.5841092,-0.2657868,0.5340246,-0.22952636
292,292,293.0,0.86154926,0.85371524,0.5839837,-0.2654752,0.53406906,-0.22938256
293,293,294.0,0.86154926,0.85371524,0.5838575,-0.26516446,0.53411186,-0.2292386
294,294,295.0,0.86154926,0.85371524,0.5837305,-0.2648547,0.5341531,-0.22909442
295,295,296.0,0.86154926,0.85371524,0.58360296,-0.26454586,0.5341927,-0.22895002
296,296,297.0,0.86154926,0.85371524,0.58347476,-0.26423788,0.5342306,-0.22880545
297,297,298.0,0.86154926,0.85371524,0.5833458,-0.2639309,0.53426707,-0.22866067
298,298,299.0,0.86154926,0.85371524,0.5832163,-0.26362473,0.5343018,-0.22851574
299,299,300.0,0.86154926,0.85371524,0.58308613,-0.26331952,0.534335,-0.22837062
